Sample_ID,Latitude_deg_SAR,Longitude_deg_SAR,Incidence_Angle_deg_SAR,Ground_Range_m_SAR,Slant_Range_m_SAR,Sat_Pos_X_m_SAR_OAT,Sat_Pos_Y_m_SAR_OAT,Sat_Pos_Z_m_SAR_OAT,Reflectance_OHRC,Elevation_m_TMC2,Slope_deg_TMC2,CPR_DFSAR,Hazard_Class_Label
sample_0021,-86.6118,-145.1718,24.7,95083.69,96053.9,-119529.23,-36051.3,-1817631.01,0.0,-1869.9,18.0,1.45,steep_slope_hazard
sample_0022,-86.6191,-144.1503,25.75,95878.11,96282.4,-119529.23,-36051.3,-1817631.01,0.0,-1954.9,8.8,0.93,shadowing_obscuration
sample_0023,-86.6189,-145.7534,24.13,94548.22,94339.81,-119529.23,-36051.3,-1817631.01,0.0,-1927.4,23.3,1.42,steep_slope_hazard
sample_0024,-86.6263,-144.8725,25.02,95326.33,94568.45,-119529.23,-36051.3,-1817631.01,0.0,-1914.1,24.3,0.27,steep_slope_hazard
sample_0025,-86.6329,-144.0072,25.89,96065.23,94625.59,-119529.23,-36051.3,-1817631.01,0.0,-1897.9,23.7,0.74,steep_slope_hazard
sample_0026,-86.6333,-145.5532,24.35,94725.31,94911.49,-118886.89,-35537.48,-1817677.48,0.0,-1838.7,12.9,0.54,shadowing_obscuration
sample_0027,-86.6406,-144.6416,25.27,95508.34,95139.87,-118886.89,-35537.48,-1817677.48,0.0,-1944.1,21.8,1.15,steep_slope_hazard
sample_0028,-86.6473,-143.63,26.29,96316.93,95368.25,-118886.89,-35537.48,-1817677.48,0.0,-1887.4,21.4,1.48,steep_slope_hazard
sample_0029,-86.6477,-145.3049,24.62,94964.8,95596.78,-118886.89,-35537.48,-1817677.48,0.0,-1873.4,9.3,0.53,shadowing_obscuration
sample_0030,-86.6548,-144.4056,25.53,95692.32,95653.82,-118886.89,-35537.48,-1817677.48,0.0,-1971.6,21.1,1.05,steep_slope_hazard
sample_0031,-86.6613,-143.3636,26.58,96505.1,95939.12,-118244.52,-35023.65,-1817723.57,0.0,-1870.6,2.9,0.46,shadowing_obscuration
sample_0032,-86.6619,-145.1109,24.82,95145.33,96167.78,-118244.52,-35023.65,-1817723.57,0.0,-1949.3,15.7,0.93,steep_slope_hazard
sample_0033,-86.6691,-144.097,25.85,95940.16,96396.64,-118244.52,-35023.65,-1817723.57,0.0,-1968.3,7.3,0.8,shadowing_obscuration
sample_0034,-86.6691,-145.7157,24.26,94548.03,96454.0,-118244.52,-35023.65,-1817723.57,0.0,-1809.2,4.8,1.46,shadowing_obscuration
sample_0035,-86.6762,-144.898,25.05,95325.43,94510.36,-118244.52,-35023.65,-1817723.57,0.0,-1806.2,3.8,0.99,shadowing_obscuration
sample_0036,-86.6832,-143.8688,26.09,96127.87,94739.34,-117602.12,-34509.82,-1817769.3,0.0,-1834.5,18.0,0.65,steep_slope_hazard
sample_0037,-86.6835,-145.4893,24.49,94785.28,95025.32,-117602.12,-34509.82,-1817769.3,0.0,-1925.2,9.8,0.35,shadowing_obscuration
sample_0038,-86.6906,-144.5947,25.37,95569.16,95253.79,-117602.12,-34509.82,-1817769.3,0.0,-1962.4,18.7,0.4,steep_slope_hazard
sample_0039,-86.6972,-143.6237,26.34,96313.69,95310.86,-117602.12,-34509.82,-1817769.3,0.0,-1856.8,3.5,0.49,shadowing_obscuration
sample_0040,-86.6976,-145.331,24.66,94965.62,95539.25,-117602.12,-34509.82,-1817769.3,0.0,-1900.8,9.3,0.53,shadowing_obscuration
sample_0041,-86.7048,-144.3643,25.62,95754.32,95767.8,-116959.7,-33995.98,-1817814.66,0.0,-1958.0,14.4,1.31,shadowing_obscuration
sample_0042,-86.7113,-143.3018,26.67,96568.59,96053.17,-116959.7,-33995.98,-1817814.66,0.0,-1890.9,20.2,0.93,steep_slope_hazard
sample_0043,-86.712,-145.0773,24.92,95206.81,96281.62,-116959.7,-33995.98,-1817814.66,0.0,-1973.8,9.3,0.88,shadowing_obscuration
sample_0044,-86.7189,-144.1258,25.87,95938.85,96338.73,-116959.7,-33995.98,-1817814.66,0.0,-1816.3,16.4,0.35,steep_slope_hazard
sample_0045,-86.7188,-145.7657,24.26,94605.99,94397.5,-116959.7,-33995.98,-1817814.66,0.0,-1933.4,22.4,1.32,steep_slope_hazard
sample_0046,-86.7262,-144.8726,25.13,95386.77,94624.55,-116317.25,-33482.14,-1817859.66,0.0,-1860.7,16.2,1.14,steep_slope_hazard
sample_0047,-86.7332,-143.8163,26.18,96187.2,94853.59,-116317.25,-33482.14,-1817859.66,0.0,-1923.9,7.4,0.29,shadowing_obscuration
sample_0048,-86.7332,-145.5611,24.48,94784.16,94910.75,-116317.25,-33482.14,-1817859.66,0.0,-1886.4,2.6,1.12,shadowing_obscuration
sample_0049,-86.7404,-144.6335,25.39,95569.35,95196.42,-116317.25,-33482.14,-1817859.66,0.0,-1881.6,22.0,0.91,steep_slope_hazard
sample_0050,-86.7472,-143.5745,26.43,96379.21,95424.7,-115674.78,-32968.29,-1817904.28,0.0,-1946.7,2.5,0.31,shadowing_obscuration
sample_0051,-86.7475,-145.3455,24.7,95023.0,95653.16,-115674.78,-32968.29,-1817904.28,0.0,-1805.5,22.1,0.8,steep_slope_hazard
sample_0052,-86.7548,-144.3318,25.69,95816.95,95881.54,-115674.78,-32968.29,-1817904.28,0.0,-1840.5,14.2,0.83,shadowing_obscuration
sample_0053,-86.7611,-143.346,26.65,96568.73,95938.62,-115674.78,-32968.29,-1817904.28,0.0,-1810.9,23.6,0.42,steep_slope_hazard
sample_0054,-86.7618,-145.1267,24.93,95204.76,96224.23,-115674.78,-32968.29,-1817904.28,0.0,-1818.9,20.4,1.43,steep_slope_hazard
sample_0055,-86.7689,-144.0843,25.95,96000.91,96452.78,-115032.28,-32454.44,-1817948.54,0.0,-1872.4,25.0,1.3,steep_slope_hazard
sample_0056,-86.7687,-145.7929,24.3,94666.28,94510.46,-115032.28,-32454.44,-1817948.54,0.0,-1814.1,10.1,1.07,shadowing_obscuration
sample_0057,-86.7763,-144.8229,25.24,95446.54,94739.12,-115032.28,-32454.44,-1817948.54,0.0,-1964.1,19.6,0.8,steep_slope_hazard
sample_0058,-86.783,-143.8399,26.2,96190.29,94796.2,-115032.28,-32454.44,-1817948.54,0.0,-1944.7,11.2,0.74,shadowing_obscuration
sample_0059,-86.7829,-145.608,24.49,94843.75,95024.79,-115032.28,-32454.44,-1817948.54,0.0,-1971.9,13.0,1.05,shadowing_obscuration
sample_0060,-86.7904,-144.6124,25.45,95632.94,95310.28,-114389.76,-31940.58,-1817992.42,0.0,-1921.4,16.4,0.91,steep_slope_hazard
sample_0061,-86.7971,-143.5207,26.51,96441.24,95538.9,-114389.76,-31940.58,-1817992.42,0.0,-1910.0,22.1,0.28,steep_slope_hazard
sample_0062,-86.7972,-145.404,24.7,95023.49,95595.86,-114389.76,-31940.58,-1817992.42,0.0,-1931.2,24.6,0.87,steep_slope_hazard
sample_0063,-86.8046,-144.3655,25.71,95816.34,95824.15,-114389.76,-31940.58,-1817992.42,0.0,-1830.8,19.7,1.25,steep_slope_hazard
sample_0064,-86.8043,-146.0105,24.15,94489.35,96052.64,-114389.76,-31940.58,-1817992.42,0.0,-1915.8,11.6,0.8,shadowing_obscuration
sample_0065,-86.8118,-145.1038,25.01,95266.0,96338.24,-113747.21,-31426.71,-1818035.94,0.0,-1929.4,11.7,0.27,shadowing_obscuration
sample_0066,-86.8189,-144.0396,26.03,96065.27,94395.49,-113747.21,-31426.71,-1818035.94,0.0,-1882.3,19.0,1.22,steep_slope_hazard
sample_0067,-86.8187,-145.7867,24.39,94665.62,94452.52,-113747.21,-31426.71,-1818035.94,0.0,-1954.6,7.5,0.46,shadowing_obscuration
sample_0068,-86.8261,-144.8606,25.26,95448.09,94681.11,-113747.21,-31426.71,-1818035.94,0.0,-1835.6,4.5,0.54,shadowing_obscuration
sample_0069,-86.833,-143.7897,26.28,96252.7,94909.84,-113747.21,-31426.71,-1818035.94,0.0,-1966.6,10.2,0.41,shadowing_obscuration
sample_0070,-86.8335,-145.4719,24.71,94903.25,95138.63,-113104.64,-30912.85,-1818079.09,0.0,-1802.4,8.6,0.63,shadowing_obscuration
sample_0071,-86.8405,-144.5579,25.56,95692.6,95424.39,-113104.64,-30912.85,-1818079.09,0.0,-1841.0,8.8,1.18,shadowing_obscuration
sample_0072,-86.847,-143.5376,26.53,96441.71,95481.46,-113104.64,-30912.85,-1818079.09,0.0,-1944.2,7.4,0.88,shadowing_obscuration
sample_0073,-86.8476,-145.2867,24.9,95083.09,95709.63,-113104.64,-30912.85,-1818079.09,0.0,-1979.0,3.0,0.47,shadowing_obscuration
sample_0074,-86.8547,-144.3027,25.82,95877.91,95938.07,-113104.64,-30912.85,-1818079.09,0.0,-1833.2,2.4,1.34,shadowing_obscuration
sample_0075,-86.855,-145.8507,24.4,94548.19,96166.49,-112462.04,-30398.97,-1818121.87,0.0,-1852.8,24.7,1.34,steep_slope_hazard
sample_0076,-86.8621,-145.0103,25.17,95325.89,96452.09,-112462.04,-30398.97,-1818121.87,0.0,-1848.8,11.8,1.33,shadowing_obscuration
sample_0077,-86.8687,-144.0697,26.05,96064.4,94336.85,-112462.04,-30398.97,-1818121.87,0.0,-1841.2,10.8,0.51,shadowing_obscuration
sample_0078,-86.8693,-145.655,24.6,94725.21,94565.76,-112462.04,-30398.97,-1818121.87,0.0,-1966.7,17.6,0.79,steep_slope_hazard
sample_0079,-86.8762,-144.7937,25.38,95507.26,94794.47,-112462.04,-30398.97,-1818121.87,0.0,-1915.5,7.0,1.48,shadowing_obscuration
sample_0080,-86.8829,-143.7489,26.36,96316.11,95023.29,-111819.42,-29885.1,-1818164.29,0.0,-1959.1,23.8,1.2,steep_slope_hazard
sample_0081,-86.8836,-145.4362,24.83,94903.96,95080.46,-111819.42,-29885.1,-1818164.29,0.0,-1824.6,20.1,0.24,steep_slope_hazard
sample_0082,-86.8905,-144.5433,25.64,95692.86,95309.1,-111819.42,-29885.1,-1818164.29,0.0,-1867.8,4.1,0.28,shadowing_obscuration
sample_0083,-86.897,-143.4766,26.62,96505.23,95594.94,-111819.42,-29885.1,-1818164.29,0.0,-1920.4,11.6,0.8,shadowing_obscuration
sample_0084,-86.898,-145.1652,25.09,95144.13,95823.66,-111819.42,-29885.1,-1818164.29,0.0,-1968.6,22.2,1.38,steep_slope_hazard
sample_0085,-86.9047,-144.2495,25.92,95940.03,96051.91,-111176.78,-29371.22,-1818206.33,0.0,-1924.0,23.7,0.9,steep_slope_hazard
sample_0086,-86.9053,-145.7732,24.57,94548.32,96108.96,-111176.78,-29371.22,-1818206.33,0.0,-1921.5,12.8,0.85,shadowing_obscuration
sample_0087,-86.9123,-144.9257,25.33,95325.37,96337.44,-111176.78,-29371.22,-1818206.33,0.0,-1848.7,16.1,0.34,steep_slope_hazard
sample_0088,-86.9189,-143.9698,26.19,96127.68,94450.05,-111176.78,-29371.22,-1818206.33,0.0,-1865.2,5.8,1.05,shadowing_obscuration
sample_0089,-86.9199,-145.4929,24.85,94784.47,94678.72,-111176.78,-29371.22,-1818206.33,0.0,-1820.3,24.8,1.27,steep_slope_hazard
sample_0090,-86.9267,-144.6142,25.63,95568.9,94907.45,-110534.11,-28857.33,-1818248.01,0.0,-1895.0,7.3,0.69,shadowing_obscuration
sample_0091,-86.9329,-143.7222,26.43,96316.48,94964.48,-110534.11,-28857.33,-1818248.01,0.0,-1958.5,23.7,1.21,steep_slope_hazard
sample_0092,-86.9343,-145.2364,25.11,94962.88,95193.26,-110534.11,-28857.33,-1818248.01,0.0,-1851.6,16.9,1.45,steep_slope_hazard
sample_0093,-86.9407,-144.4225,25.81,95754.28,95422.31,-110534.11,-28857.33,-1818248.01,0.0,-1843.1,16.0,0.46,steep_slope_hazard
sample_0094,-86.9472,-143.2803,26.86,96568.57,95708.28,-110534.11,-28857.33,-1818248.01,0.0,-1879.0,13.8,0.88,shadowing_obscuration
sample_0095,-86.9486,-145.0112,25.33,95145.5,95765.19,-109891.42,-28343.44,-1818289.32,0.0,-1841.2,7.3,0.57,shadowing_obscuration
sample_0096,-86.955,-144.1262,26.11,95940.91,95993.61,-109891.42,-28343.44,-1818289.32,0.0,-1891.1,6.1,1.23,shadowing_obscuration
sample_0097,-86.9561,-145.5929,24.84,94606.94,96221.96,-109891.42,-28343.44,-1818289.32,0.0,-1885.9,7.1,0.95,shadowing_obscuration
sample_0098,-86.9629,-144.7396,25.59,95387.34,96450.27,-109891.42,-28343.44,-1818289.32,0.0,-1903.0,6.3,1.02,shadowing_obscuration
sample_0099,-86.9693,-143.7454,26.47,96191.23,94562.83,-109248.7,-27829.55,-1818330.26,0.0,-1975.4,19.9,1.24,steep_slope_hazard
sample_0100,-86.9704,-145.3523,25.09,94783.86,94562.74,-109248.7,-27829.55,-1818330.26,0.0,-1960.6,10.1,0.71,shadowing_obscuration
sample_0101,-86.9771,-144.4906,25.83,95570.14,94848.68,-109248.7,-27829.55,-1818330.26,0.0,-1974.3,3.3,1.39,shadowing_obscuration
sample_0102,-86.9834,-143.4574,26.75,96378.62,95077.62,-109248.7,-27829.55,-1818330.26,0.0,-1865.4,24.3,0.89,steep_slope_hazard
sample_0103,-86.9849,-145.0747,25.35,95024.93,95306.31,-109248.7,-27829.55,-1818330.26,0.0,-1923.4,22.3,0.41,steep_slope_hazard
sample_0104,-86.9914,-144.1607,26.14,95816.12,95534.86,-108605.96,-27315.65,-1818370.83,0.0,-1888.5,23.3,1.1,steep_slope_hazard
sample_0105,-86.9974,-143.1073,27.09,96569.51,95592.27,-108605.96,-27315.65,-1818370.83,0.0,-1816.6,24.9,1.23,steep_slope_hazard
sample_0106,-86.999,-144.8687,25.54,95205.07,95877.47,-108605.96,-27315.65,-1818370.83,0.0,-1935.1,6.0,0.61,shadowing_obscuration
sample_0107,-87.0056,-143.8582,26.44,95996.96,96105.83,-108605.96,-27315.65,-1818370.83,0.0,-1906.1,11.1,1.31,shadowing_obscuration
sample_0108,-87.0064,-145.4909,25.02,94665.96,96334.06,-108605.96,-27315.65,-1818370.83,0.0,-1844.0,19.4,1.38,steep_slope_hazard
sample_0109,-87.0133,-144.5966,25.81,95385.38,96390.91,-107963.2,-26801.75,-1818411.03,0.0,-1938.8,18.0,0.56,steep_slope_hazard
sample_0110,-87.0198,-143.4882,26.8,96190.37,94447.79,-107963.2,-26801.75,-1818411.03,0.0,-1966.1,5.5,1.48,shadowing_obscuration
sample_0111,-87.0206,-145.3069,25.19,94845.04,94676.59,-107963.2,-26801.75,-1818411.03,0.0,-1927.8,20.8,0.38,steep_slope_hazard
sample_0112,-87.0278,-144.2113,26.18,95631.06,94962.22,-107963.2,-26801.75,-1818411.03,0.0,-1951.0,7.2,0.46,shadowing_obscuration
sample_0113,-87.034,-143.061,27.21,96441.86,95190.61,-107963.2,-26801.75,-1818411.03,0.0,-1812.7,7.1,0.44,shadowing_obscuration
sample_0114,-87.0349,-145.057,25.44,95023.77,95247.5,-107320.42,-26287.85,-1818450.87,0.0,-1834.5,14.4,1.36,shadowing_obscuration
sample_0115,-87.042,-143.8844,26.5,95816.2,95475.68,-107320.42,-26287.85,-1818450.87,0.0,-1866.0,15.6,1.05,steep_slope_hazard
sample_0116,-87.0421,-145.7264,24.87,94489.33,95704.05,-107320.42,-26287.85,-1818450.87,0.0,-1823.1,15.3,0.4,steep_slope_hazard
sample_0117,-87.0496,-144.6654,25.81,95264.78,95989.86,-107320.42,-26287.85,-1818450.87,0.0,-1835.3,4.1,0.77,shadowing_obscuration
sample_0118,-87.0562,-143.5137,26.84,96063.27,96217.94,-107320.42,-26287.85,-1818450.87,0.0,-1946.4,22.2,1.0,steep_slope_hazard
sample_0119,-87.0565,-145.4683,25.12,94666.06,96274.92,-106677.61,-25773.94,-1818490.34,0.0,-1819.3,8.1,0.31,shadowing_obscuration
sample_0120,-87.0639,-144.339,26.13,95447.21,94332.7,-106677.61,-25773.94,-1818490.34,0.0,-1882.9,5.0,1.35,shadowing_obscuration
sample_0121,-87.0702,-143.1809,27.16,96252.77,94561.06,-106677.61,-25773.94,-1818490.34,0.0,-1834.7,22.4,1.24,steep_slope_hazard
sample_0122,-87.0711,-145.1291,25.44,94903.65,94789.34,-106677.61,-25773.94,-1818490.34,0.0,-1818.7,24.0,0.86,steep_slope_hazard
sample_0123,-87.0781,-144.0398,26.42,95631.09,94846.23,-106677.61,-25773.94,-1818490.34,0.0,-1922.8,21.8,1.46,steep_slope_hazard
sample_0124,-87.0841,-142.88,27.43,96442.18,95131.77,-106034.77,-25260.02,-1818529.43,0.0,-1960.2,20.6,0.74,steep_slope_hazard
sample_0125,-87.0851,-144.9585,25.59,95081.52,95360.1,-106034.77,-25260.02,-1818529.43,0.0,-1939.0,17.1,1.48,steep_slope_hazard
sample_0126,-87.0924,-143.6512,26.78,95877.85,95588.41,-106034.77,-25260.02,-1818529.43,0.0,-1903.1,14.7,1.07,shadowing_obscuration
sample_0127,-87.0925,-145.6233,25.04,94548.41,95816.96,-106034.77,-25260.02,-1818529.43,0.0,-1832.8,4.0,1.03,shadowing_obscuration
sample_0128,-87.0999,-144.5331,26.02,95265.01,95874.1,-106034.77,-25260.02,-1818529.43,0.0,-1825.1,11.4,0.42,shadowing_obscuration
sample_0129,-87.1063,-143.3873,27.02,96064.41,96159.51,-105391.92,-24746.11,-1818568.16,0.0,-1978.7,10.6,1.35,shadowing_obscuration
sample_0130,-87.107,-145.331,25.33,94725.44,96387.86,-105391.92,-24746.11,-1818568.16,0.0,-1888.1,8.0,0.76,shadowing_obscuration
sample_0131,-87.1143,-144.1495,26.37,95508.26,94445.78,-105391.92,-24746.11,-1818568.16,0.0,-1904.9,18.6,0.41,steep_slope_hazard
sample_0132,-87.1204,-143.0096,27.35,96316.6,94674.29,-105391.92,-24746.11,-1818568.16,0.0,-1940.0,13.4,0.22,shadowing_obscuration
sample_0133,-87.1214,-145.031,25.62,94903.96,94731.15,-105391.92,-24746.11,-1818568.16,0.0,-1958.4,3.9,0.93,shadowing_obscuration
sample_0134,-87.1284,-143.8703,26.63,95692.87,94959.48,-104749.04,-24232.19,-1818606.52,0.0,-1919.2,7.1,0.89,shadowing_obscuration
sample_0135,-87.1342,-142.7258,27.61,96505.19,95244.89,-104749.04,-24232.19,-1818606.52,0.0,-1810.3,17.7,1.14,steep_slope_hazard
sample_0136,-87.136,-144.6591,25.96,95144.21,95473.28,-104749.04,-24232.19,-1818606.52,0.0,-1921.8,3.8,1.36,shadowing_obscuration
sample_0137,-87.1426,-143.5119,26.95,95940.29,95701.85,-104749.04,-24232.19,-1818606.52,0.0,-1886.6,21.6,0.3,steep_slope_hazard
sample_0138,-87.1427,-145.5497,25.2,94548.06,95758.92,-104749.04,-24232.19,-1818606.52,0.0,-1853.5,13.4,1.15,shadowing_obscuration
sample_0139,-87.1503,-144.3497,26.25,95325.92,95987.51,-104106.14,-23718.27,-1818644.52,0.0,-1914.5,13.1,0.44,shadowing_obscuration
sample_0140,-87.1565,-143.2444,27.19,96127.84,96273.42,-104106.14,-23718.27,-1818644.52,0.0,-1805.1,15.6,1.32,steep_slope_hazard
sample_0141,-87.1573,-145.2177,25.5,94786.39,94331.21,-104106.14,-23718.27,-1818644.52,0.0,-1806.8,21.0,1.26,steep_slope_hazard
sample_0142,-87.1644,-144.0823,26.5,95508.17,94388.2,-104106.14,-23718.27,-1818644.52,0.0,-1934.7,10.0,0.9,shadowing_obscuration
sample_0143,-87.1702,-143.0013,27.39,96315.51,94616.42,-104106.14,-23718.27,-1818644.52,0.0,-1890.5,17.6,1.12,steep_slope_hazard
sample_0144,-87.1716,-144.97,25.73,94963.82,94844.94,-103463.22,-23204.34,-1818682.14,0.0,-1925.8,15.0,0.61,steep_slope_hazard
sample_0145,-87.1785,-143.7649,26.77,95754.46,95073.02,-103463.22,-23204.34,-1818682.14,0.0,-1928.7,8.1,0.81,shadowing_obscuration
sample_0146,-87.1841,-142.6863,27.65,96568.43,95358.59,-103463.22,-23204.34,-1818682.14,0.0,-1973.4,22.2,1.27,steep_slope_hazard
sample_0147,-87.1858,-144.691,25.99,95143.19,95415.72,-103463.22,-23204.34,-1818682.14,0.0,-1870.3,20.3,0.8,steep_slope_hazard
sample_0148,-87.1924,-143.5391,26.96,95941.24,95644.26,-102820.27,-22690.42,-1818719.4,0.0,-1889.5,17.1,0.67,steep_slope_hazard
sample_0149,-87.1927,-145.5387,25.27,94607.25,95873.1,-102820.27,-22690.42,-1818719.4,0.0,-1970.7,21.6,0.84,steep_slope_hazard
sample_0150,-87.2003,-144.3237,26.32,95387.17,96101.55,-102820.27,-22690.42,-1818719.4,0.0,-1929.8,21.9,1.28,steep_slope_hazard
sample_0151,-87.2064,-143.1896,27.26,96189.56,96387.58,-102820.27,-22690.42,-1818719.4,0.0,-1816.5,18.3,0.64,steep_slope_hazard
sample_0152,-87.2071,-145.2776,25.51,94783.92,96444.79,-102820.27,-22690.42,-1818719.4,0.0,-1936.9,21.3,0.43,steep_slope_hazard
sample_0153,-87.2143,-144.08,26.53,95569.44,94502.06,-102177.3,-22176.49,-1818756.28,0.0,-1953.9,18.0,1.13,steep_slope_hazard
sample_0154,-87.2202,-142.9513,27.46,96378.38,94730.28,-102177.3,-22176.49,-1818756.28,0.0,-1891.9,17.6,1.27,steep_slope_hazard
sample_0155,-87.2217,-144.9055,25.85,95024.48,94958.6,-102177.3,-22176.49,-1818756.28,0.0,-1802.6,16.2,0.33,steep_slope_hazard
sample_0156,-87.2282,-143.84,26.74,95754.49,95015.64,-102177.3,-22176.49,-1818756.28,0.0,-1936.4,19.3,0.51,steep_slope_hazard
sample_0157,-87.2339,-142.717,27.65,96568.31,95244.03,-102177.3,-22176.49,-1818756.28,0.0,-1859.0,5.6,0.38,shadowing_obscuration
sample_0158,-87.236,-144.6212,26.11,95202.69,95529.82,-101534.31,-21662.55,-1818792.8,0.0,-1842.9,22.3,0.65,steep_slope_hazard
sample_0159,-87.2423,-143.4907,27.03,96001.48,95758.49,-101534.31,-21662.55,-1818792.8,0.0,-1937.2,22.1,0.79,steep_slope_hazard
sample_0160,-87.2428,-145.5196,25.35,94666.26,95987.17,-101534.31,-21662.55,-1818792.8,0.0,-1848.9,2.7,1.17,shadowing_obscuration
sample_0161,-87.2501,-144.3613,26.33,95387.31,96044.34,-101534.31,-21662.55,-1818792.8,0.0,-1913.8,21.0,1.05,steep_slope_hazard
sample_0162,-87.2562,-143.2514,27.23,96190.8,96273.02,-101534.31,-21662.55,-1818792.8,0.0,-1866.2,5.0,1.01,shadowing_obscuration
sample_0163,-87.2572,-145.2191,25.63,94844.13,94387.56,-100891.3,-21148.62,-1818828.95,0.0,-1866.0,9.7,0.66,shadowing_obscuration
sample_0164,-87.2644,-143.9991,26.65,95630.88,94615.78,-100891.3,-21148.62,-1818828.95,0.0,-1883.6,19.1,1.29,steep_slope_hazard
sample_0165,-87.2701,-142.9056,27.51,96441.65,94844.03,-100891.3,-21148.62,-1818828.95,0.0,-1963.7,5.7,0.81,shadowing_obscuration
sample_0166,-87.2716,-144.9221,25.9,95022.61,94900.94,-100891.3,-21148.62,-1818828.95,0.0,-1829.6,20.8,1.47,steep_slope_hazard
sample_0167,-87.2783,-143.7514,26.85,95815.74,95129.31,-100891.3,-21148.62,-1818828.95,0.0,-1922.3,21.1,1.02,steep_slope_hazard
sample_0168,-87.2784,-145.7728,25.2,94489.26,95357.97,-100248.26,-20634.68,-1818864.73,0.0,-1946.4,13.7,0.36,shadowing_obscuration
sample_0169,-87.2861,-144.5488,26.22,95266.0,95643.77,-100248.26,-20634.68,-1818864.73,0.0,-1972.7,2.1,1.08,shadowing_obscuration
sample_0170,-87.2922,-143.495,27.07,96001.32,95700.94,-100248.26,-20634.68,-1818864.73,0.0,-1873.6,8.6,0.62,shadowing_obscuration
sample_0171,-87.2929,-145.4764,25.47,94666.22,95929.51,-100248.26,-20634.68,-1818864.73,0.0,-1858.0,16.2,1.09,steep_slope_hazard
sample_0172,-87.3002,-144.2926,26.44,95445.45,96158.16,-100248.26,-20634.68,-1818864.73,0.0,-1977.0,24.6,0.29,steep_slope_hazard
